name: 🇺🇸US-37.19.198.243-0199 | type: ss | id: 174 | remarks: 🇺🇸US-37.19.198.160-0231 | protocol: ss | ping: 15 MS | avg_speed: 108.328 MB | max_speed: 147.875 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@37.19.198.160:443#%F0%9F%87%BA%F0%9F%87%B8US-37.19.198.160-0231
name: 🇺🇸US-142.171.194.105-5177 | type: vmess | id: 162 | remarks: 🇨🇦CA-79.127.233.170-0219 | protocol: ss | ping: 86 MS | avg_speed: 48.828 MB | max_speed: 55.386 MB | Link: ss://YWVzLTI1Ni1jZmI6ZjhmN2FDemNQS2JzRjhwMw==@79.127.233.170:989#%F0%9F%87%A8%F0%9F%87%A6CA-79.127.233.170-0219
name: 🇺🇸US-107.151.182.253-0188 | type: ss | id: 158 | remarks: 🇺🇸US-212.102.47.130-0215 | protocol: ss | ping: 71 MS | avg_speed: 44.212 MB | max_speed: 49.914 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@212.102.47.130:443#%F0%9F%87%BA%F0%9F%87%B8US-212.102.47.130-0215
name: 🇨🇦CA-79.127.233.170-0195 | type: ss | id: 161 | remarks: 🇺🇸US-212.102.47.131-0218 | protocol: ss | ping: 71 MS | avg_speed: 43.563 MB | max_speed: 48.842 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@212.102.47.131:443#%F0%9F%87%BA%F0%9F%87%B8US-212.102.47.131-0218
name: 🇺🇸US-212.102.47.131-0193 | type: ss | id: 2320 | remarks: 🇱🇹LT-45.87.175.199-5108 | protocol: ss | ping: 209 MS | avg_speed: 42.838 MB | max_speed: 47.603 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpjdklJODVUclc2bjBPR3lmcEhWUzF1@45.87.175.199:8080#%F0%9F%87%B1%F0%9F%87%B9LT-45.87.175.199-5108
name: 🇺🇸US-212.102.47.132-0196 | type: ss | id: 159 | remarks: 🇺🇸US-212.102.47.132-0216 | protocol: ss | ping: 71 MS | avg_speed: 42.83 MB | max_speed: 50.287 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@212.102.47.132:443#%F0%9F%87%BA%F0%9F%87%B8US-212.102.47.132-0216
name: 🇺🇸US-212.102.47.130-0203 | type: ss | id: 2322 | remarks: 🇳🇱NL-193.29.139.138-5112 | protocol: ss | ping: 182 MS | avg_speed: 42.601 MB | max_speed: 47.512 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpjdklJODVUclc2bjBPR3lmcEhWUzF1@193.29.139.138:8080#%F0%9F%87%B3%F0%9F%87%B1NL-193.29.139.138-5112
name: 🇬🇧GB-62.100.205.48-0219 | type: ss | id: 184 | remarks: 🇦🇪AE-151.242.251.147-0241 | protocol: ss | ping: 113 MS | avg_speed: 42.251 MB | max_speed: 47.565 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpRQ1hEeHVEbFRUTUQ3anRnSFVqSW9q@151.242.251.147:8080#%F0%9F%87%A6%F0%9F%87%AAAE-151.242.251.147-0241
name: "%�\x11�<'���ЋM���L\f\x0b��\rK�\x0e\x0bML\f%�" | type: ss | id: 2319 | remarks: 🇱🇹LT-45.87.175.181-5102 | protocol: ss | ping: 199 MS | avg_speed: 42.059 MB | max_speed: 47.355 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNToxUld3WGh3ZkFCNWdBRW96VTRHMlBn@45.87.175.181:8080#%F0%9F%87%B1%F0%9F%87%B9LT-45.87.175.181-5102
name: LT-45.87.175.154-0218 | type: ss | id: 186 | remarks: 🇳🇱NL-109.201.152.181-0243 | protocol: ss | ping: 89 MS | avg_speed: 41.96 MB | max_speed: 48.015 MB | Link: ss://YWVzLTEyOC1jZmI6c2hhZG93c29ja3M=@109.201.152.181:443#%F0%9F%87%B3%F0%9F%87%B1NL-109.201.152.181-0243
name: 🇳🇱NL-193.29.139.157-0229 | type: ss | id: 181 | remarks: 🇱🇹LT-45.87.175.154-0238 | protocol: ss | ping: 611 MS | avg_speed: 41.96 MB | max_speed: 46.974 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpRQ1hEeHVEbFRUTUQ3anRnSFVqSW9q@45.87.175.154:8080#%F0%9F%87%B1%F0%9F%87%B9LT-45.87.175.154-0238
name: LT-45.87.175.92-0216 | type: ss | id: 199 | remarks: 🇳🇱NL-193.29.139.235-0257 | protocol: ss | ping: 91 MS | avg_speed: 41.472 MB | max_speed: 47.291 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpvWklvQTY5UTh5aGNRVjhrYTNQYTNB@193.29.139.235:8080#%F0%9F%87%B3%F0%9F%87%B1NL-193.29.139.235-0257
name: LT-45.87.175.166-0339 | type: ss | id: 205 | remarks: 🇳🇱NL-51.15.17.169-0263 | protocol: ss | ping: 91 MS | avg_speed: 41.302 MB | max_speed: 46.873 MB | Link: ss://YWVzLTI1Ni1jZmI6ZjhmN2FDemNQS2JzRjhwMw==@51.15.17.169:989#%F0%9F%87%B3%F0%9F%87%B1NL-51.15.17.169-0263
name: 🇳🇱NL-103.104.247.49-0302 | type: ss | id: 222 | remarks: 🇦🇪AE-151.242.251.153-0280 | protocol: ss | ping: 99 MS | avg_speed: 41.016 MB | max_speed: 48.093 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpRQ1hEeHVEbFRUTUQ3anRnSFVqSW9q@151.242.251.153:8080#%F0%9F%87%A6%F0%9F%87%AAAE-151.242.251.153-0280
name: LT-45.87.175.192-0214 | type: ss | id: 193 | remarks: 🇫🇷FR-45.158.171.146-0250 | protocol: ss | ping: 138 MS | avg_speed: 40.699 MB | max_speed: 47.348 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpRQ1hEeHVEbFRUTUQ3anRnSFVqSW9q@45.158.171.146:8080#%F0%9F%87%AB%F0%9F%87%B7FR-45.158.171.146-0250
name: 🇫🇷FR-45.158.171.110-0225 | type: ss | id: 223 | remarks: 🇳🇱NL-193.29.139.217-0281 | protocol: ss | ping: 103 MS | avg_speed: 40.592 MB | max_speed: 46.974 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpRQ1hEeHVEbFRUTUQ3anRnSFVqSW9q@193.29.139.217:8080#%F0%9F%87%B3%F0%9F%87%B1NL-193.29.139.217-0281
name: 🇳🇱NL-193.29.139.138-0224 | type: ss | id: 187 | remarks: 🇳🇱NL-193.29.139.227-0244 | protocol: ss | ping: 122 MS | avg_speed: 40.57 MB | max_speed: 46.792 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpRQ1hEeHVEbFRUTUQ3anRnSFVqSW9q@193.29.139.227:8080#%F0%9F%87%B3%F0%9F%87%B1NL-193.29.139.227-0244
name: AE-151.242.251.137-0239 | type: ss | id: 188 | remarks: 🇳🇱NL-193.29.139.157-0245 | protocol: ss | ping: 108 MS | avg_speed: 40.528 MB | max_speed: 46.828 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTo0YTJyZml4b3BoZGpmZmE4S1ZBNEFh@193.29.139.157:8080#%F0%9F%87%B3%F0%9F%87%B1NL-193.29.139.157-0245
name: 🇫🇷FR-45.158.171.60-0210 | type: ss | id: 332 | remarks: 🇦🇪AE-151.242.251.144-0392 | protocol: ss | ping: 395 MS | avg_speed: 40.507 MB | max_speed: 46.726 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTo0YTJyZml4b3BoZGpmZmE4S1ZBNEFh@151.242.251.144:8080#%F0%9F%87%A6%F0%9F%87%AAAE-151.242.251.144-0392
name: LT-45.87.175.181-0234 | type: ss | id: 189 | remarks: 🇦🇪AE-151.242.251.131-0246 | protocol: ss | ping: 146 MS | avg_speed: 39.927 MB | max_speed: 46.357 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpRQ1hEeHVEbFRUTUQ3anRnSFVqSW9q@151.242.251.131:8080#%F0%9F%87%A6%F0%9F%87%AAAE-151.242.251.131-0246
name: LT-45.87.175.188-0223 | type: ss | id: 194 | remarks: 🇫🇷FR-45.158.171.110-0251 | protocol: ss | ping: 91 MS | avg_speed: 39.21 MB | max_speed: 46.54 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpvWklvQTY5UTh5aGNRVjhrYTNQYTNB@45.158.171.110:8080#%F0%9F%87%AB%F0%9F%87%B7FR-45.158.171.110-0251
name: 🇳🇱NL-193.29.139.217-0235 | type: ss | id: 224 | remarks: 🇨🇿CZ-195.181.160.6-0282 | protocol: ss | ping: 120 MS | avg_speed: 38.365 MB | max_speed: 43.335 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpmOGY3YUN6Y1BLYnNGOHAz@195.181.160.6:990#%F0%9F%87%A8%F0%9F%87%BFCZ-195.181.160.6-0282
name: LT-45.87.175.199-0301 | type: ss | id: 201 | remarks: 🇫🇷FR-195.154.169.198-0259 | protocol: ss | ping: 98 MS | avg_speed: 38.05 MB | max_speed: 43.355 MB | Link: ss://YWVzLTI1Ni1jZmI6ZjhmN2FDemNQS2JzRjhwMw==@195.154.169.198:989#%F0%9F%87%AB%F0%9F%87%B7FR-195.154.169.198-0259
name: 🇳🇱NL-51.15.17.169-0228 | type: ss | id: 192 | remarks: 🇱🇹LT-45.87.175.192-0249 | protocol: ss | ping: 1543 MS | avg_speed: 36.821 MB | max_speed: 46.431 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNToxUld3WGh3ZkFCNWdBRW96VTRHMlBn@45.87.175.192:8080#%F0%9F%87%B1%F0%9F%87%B9LT-45.87.175.192-0249
name: 🇳🇱NL-193.29.139.189-0226 | type: ss | id: 197 | remarks: 🇬🇧GB-212.102.53.81-0255 | protocol: ss | ping: 90 MS | avg_speed: 35.952 MB | max_speed: 41.723 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@212.102.53.81:443#%F0%9F%87%AC%F0%9F%87%A7GB-212.102.53.81-0255
name: AE-151.242.251.147-0213 | type: ss | id: 191 | remarks: 🇬🇧GB-212.102.53.196-0248 | protocol: ss | ping: 89 MS | avg_speed: 35.587 MB | max_speed: 41.497 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@212.102.53.196:443#%F0%9F%87%AC%F0%9F%87%A7GB-212.102.53.196-0248
name: 🇫🇷FR-45.158.171.146-0212 | type: ss | id: 2400 | remarks: 🇱🇹LT-45.87.175.164-5250 | protocol: ss | ping: 324 MS | avg_speed: 35.283 MB | max_speed: 42.994 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNToxUld3WGh3ZkFCNWdBRW96VTRHMlBn@45.87.175.164:8080#%F0%9F%87%B1%F0%9F%87%B9LT-45.87.175.164-5250
name: 🇺🇸US-137.175.124.167-0200 | type: vmess | id: 198 | remarks: 🇬🇧GB-212.102.53.80-0256 | protocol: ss | ping: 89 MS | avg_speed: 35.054 MB | max_speed: 42.077 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@212.102.53.80:443#%F0%9F%87%AC%F0%9F%87%A7GB-212.102.53.80-0256
name: AE-151.242.251.131-0221 | type: ss | id: 210 | remarks: 🇳🇴NO-185.213.23.226-0268 | protocol: ss | ping: 135 MS | avg_speed: 34.754 MB | max_speed: 39.13 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpmOGY3YUN6Y1BLYnNGOHAz@185.213.23.226:990#%F0%9F%87%B3%F0%9F%87%B4NO-185.213.23.226-0268
name: 🇫🇷FR-195.154.169.198-0231 | type: ss | id: 196 | remarks: 🇬🇧GB-212.102.53.78-0254 | protocol: ss | ping: 89 MS | avg_speed: 34.65 MB | max_speed: 40.058 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@212.102.53.78:443#%F0%9F%87%AC%F0%9F%87%A7GB-212.102.53.78-0254
name: 🇳🇱NL-103.104.247.47-0269 | type: ss | id: 60 | remarks: 🇬🇧GB-212.102.53.194-0108 | protocol: ss | ping: 89 MS | avg_speed: 34.49 MB | max_speed: 40.375 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@212.102.53.194:443#%F0%9F%87%AC%F0%9F%87%A7GB-212.102.53.194-0108
name: 🇳🇱NL-193.29.139.251-0230 | type: ss | id: 190 | remarks: 🇳🇱NL-193.29.139.189-0247 | protocol: ss | ping: 428 MS | avg_speed: 34.438 MB | max_speed: 47.056 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpjdklJODVUclc2bjBPR3lmcEhWUzF1@193.29.139.189:8080#%F0%9F%87%B3%F0%9F%87%B1NL-193.29.139.189-0247
name: 🇳🇱NL-193.29.139.235-0254 | type: ss | id: 202 | remarks: 🇬🇧GB-212.102.53.195-0260 | protocol: ss | ping: 90 MS | avg_speed: 34.27 MB | max_speed: 39.944 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@212.102.53.195:443#%F0%9F%87%AC%F0%9F%87%A7GB-212.102.53.195-0260
name: AE-151.242.251.153-0232 | type: ss | id: 221 | remarks: 🇬🇧GB-212.102.53.79-0279 | protocol: ss | ping: 91 MS | avg_speed: 34.214 MB | max_speed: 40.578 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@212.102.53.79:443#%F0%9F%87%AC%F0%9F%87%A7GB-212.102.53.79-0279
name: AE-151.242.251.144-0211 | type: ss | id: 160 | remarks: 🇨🇦CA-79.127.233.170-0217 | protocol: ss | ping: 86 MS | avg_speed: 33.76 MB | max_speed: 37.168 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpmOGY3YUN6Y1BLYnNGOHAz@79.127.233.170:990#%F0%9F%87%A8%F0%9F%87%A6CA-79.127.233.170-0217
name: 🇳🇱NL-109.201.152.181-0215 | type: ss | id: 3553 | remarks: 🇫🇷FR-141.94.155.224-7094 | protocol: vmess | ping: 136 MS | avg_speed: 33.623 MB | max_speed: 39.941 MB | Link: vmess://ewogICAgImFkZCI6ICJmYXBlbmcub3JnIiwKICAgICJhaWQiOiAxLAogICAgImhvc3QiOiAiZmFwZW5nLm9yZyIsCiAgICAiaWQiOiAiMDNmY2M2MTgtYjkzZC02Nzk2LTZhZWQtOGEzOGM5NzVkNTgxIiwKICAgICJuZXQiOiAid3MiLAogICAgInBhdGgiOiAibGlua3Z3cyIsCiAgICAicG9ydCI6IDQ0MywKICAgICJwcyI6ICLwn4er8J+Ht0ZSLTE0MS45NC4xNTUuMjI0LTcwOTQiLAogICAgInRscyI6ICJ0bHMiLAogICAgInR5cGUiOiAiYXV0byIsCiAgICAic2VjdXJpdHkiOiAiYXV0byIsCiAgICAic2tpcC1jZXJ0LXZlcmlmeSI6IGZhbHNlLAogICAgInNuaSI6ICJmYXBlbmcub3JnIgp9
name: 🇳🇱NL-193.29.139.227-0258 | type: ss | id: 204 | remarks: 🇳🇴NO-185.213.23.226-0262 | protocol: ss | ping: 133 MS | avg_speed: 33.574 MB | max_speed: 39.565 MB | Link: ss://YWVzLTI1Ni1jZmI6ZjhmN2FDemNQS2JzRjhwMw==@185.213.23.226:989#%F0%9F%87%B3%F0%9F%87%B4NO-185.213.23.226-0262
name: 🇺🇸US-173.244.56.9-0190 | type: ss | id: 207 | remarks: 🇸🇪SE-121.127.46.147-0265 | protocol: ss | ping: 132 MS | avg_speed: 32.44 MB | max_speed: 37.06 MB | Link: ss://YWVzLTI1Ni1jZmI6ZjhmN2FDemNQS2JzRjhwMw==@121.127.46.147:989#%F0%9F%87%B8%F0%9F%87%AASE-121.127.46.147-0265
name: CZ-195.181.160.6-0247 | type: ss | id: 4008 | remarks: 🇵🇱PL-146.59.118.250-7645 | protocol: vmess | ping: 105 MS | avg_speed: 32.287 MB | max_speed: 37.254 MB | Link: vmess://ewogICAgImFkZCI6ICJsYW1tYWxhbmQub3JnIiwKICAgICJhaWQiOiAxLAogICAgImhvc3QiOiAibGFtbWFsYW5kLm9yZyIsCiAgICAiaWQiOiAiMDNmY2M2MTgtYjkzZC02Nzk2LTZhZWQtOGEzOGM5NzVkNTgxIiwKICAgICJuZXQiOiAid3MiLAogICAgInBhdGgiOiAibGlua3Z3cyIsCiAgICAicG9ydCI6IDQ0MywKICAgICJwcyI6ICLwn4e18J+HsVBMLTE0Ni41OS4xMTguMjUwLTc2NDUiLAogICAgInRscyI6ICJ0bHMiLAogICAgInR5cGUiOiAiYXV0byIsCiAgICAic2VjdXJpdHkiOiAiYXV0byIsCiAgICAic2tpcC1jZXJ0LXZlcmlmeSI6IGZhbHNlLAogICAgInNuaSI6ICJsYW1tYWxhbmQub3JnIgp9
name: 🇫🇷FR-195.154.185.174-0268 | type: ss | id: 203 | remarks: 🇬🇧GB-212.102.53.198-0261 | protocol: ss | ping: 92 MS | avg_speed: 32.045 MB | max_speed: 39.191 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@212.102.53.198:443#%F0%9F%87%AC%F0%9F%87%A7GB-212.102.53.198-0261
name: 🇬🇧GB-212.102.53.194-0077 | type: ss | id: 200 | remarks: 🇸🇰SK-156.146.40.194-0258 | protocol: ss | ping: 152 MS | avg_speed: 31.988 MB | max_speed: 38.838 MB | Link: ss://YWVzLTI1Ni1jZmI6ZjhmN2FDemNQS2JzRjhwMw==@156.146.40.194:989#%F0%9F%87%B8%F0%9F%87%B0SK-156.146.40.194-0258
name: 🇬🇧GB-212.102.53.195-0246 | type: ss | id: 209 | remarks: 🇬🇧GB-212.102.53.197-0267 | protocol: ss | ping: 90 MS | avg_speed: 30.217 MB | max_speed: 32.38 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@212.102.53.197:443#%F0%9F%87%AC%F0%9F%87%A7GB-212.102.53.197-0267
name: 🇬🇧GB-212.102.53.198-0264 | type: ss | id: 218 | remarks: 🇨🇭CH-156.146.62.161-0276 | protocol: ss | ping: 101 MS | avg_speed: 29.569 MB | max_speed: 33.659 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@156.146.62.161:443#%F0%9F%87%A8%F0%9F%87%ADCH-156.146.62.161-0276
name: 🇬🇧GB-212.102.53.81-0242 | type: ss | id: 208 | remarks: 🇬🇧GB-212.102.53.197-0266 | protocol: ss | ping: 89 MS | avg_speed: 29.404 MB | max_speed: 32.376 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@uk-dc1.yangon.club:443#%F0%9F%87%AC%F0%9F%87%A7GB-212.102.53.197-0266
name: 🇬🇧GB-212.102.53.79-0245 | type: ss | id: 226 | remarks: 🇫🇷FR-195.154.185.174-0284 | protocol: ss | ping: 104 MS | avg_speed: 28.415 MB | max_speed: 30.908 MB | Link: ss://YWVzLTI1Ni1jZmI6ZjhmN2FDemNQS2JzRjhwMw==@195.154.185.174:989#%F0%9F%87%AB%F0%9F%87%B7FR-195.154.185.174-0284
name: 🇩🇪DE-57.129.59.202-7583 | type: vmess | id: 225 | remarks: 🇬🇧GB-141.98.101.178-0283 | protocol: ss | ping: 107 MS | avg_speed: 27.651 MB | max_speed: 30.136 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@141.98.101.178:443#%F0%9F%87%AC%F0%9F%87%A7GB-141.98.101.178-0283
name: 🇬🇧GB-212.102.53.78-0244 | type: ss | id: 774 | remarks: 🇺🇸US-104.167.197.25-1056 | protocol: ss | ping: 41 MS | avg_speed: 26.438 MB | max_speed: 31.044 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTozNjBlMjFkMjE5NzdkYzEx@104.167.197.25:57456#%F0%9F%87%BA%F0%9F%87%B8US-104.167.197.25-1056
name: 🇬🇧GB-212.102.53.193-0241 | type: ss | id: 215 | remarks: 🇨🇭CH-156.146.62.163-0273 | protocol: ss | ping: 102 MS | avg_speed: 26.075 MB | max_speed: 34.683 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@156.146.62.163:443#%F0%9F%87%A8%F0%9F%87%ADCH-156.146.62.163-0273
name: 🇬🇧GB-212.102.53.196-0236 | type: ss | id: 195 | remarks: 🇬🇧GB-212.102.53.193-0253 | protocol: ss | ping: 96 MS | avg_speed: 26.051 MB | max_speed: 29.883 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@212.102.53.193:443#%F0%9F%87%AC%F0%9F%87%A7GB-212.102.53.193-0253
name: 🇬🇧GB-212.102.53.197-0240 | type: ss | id: 3565 | remarks: 🇨🇦CA-23.162.200.227-7108 | protocol: vmess | ping: 27 MS | avg_speed: 25.984 MB | max_speed: 31.6 MB | Link: vmess://ewogICAgImFkZCI6ICIyMy4xNjIuMjAwLjIyNyIsCiAgICAiYWlkIjogMCwKICAgICJob3N0IjogIiIsCiAgICAiaWQiOiAiMDNmY2M2MTgtYjkzZC02Nzk2LTZhZWQtOGEzOGM5NzVkNTgxIiwKICAgICJuZXQiOiAid3MiLAogICAgInBhdGgiOiAiL2xpbmt2d3MiLAogICAgInBvcnQiOiA0NDMsCiAgICAicHMiOiAi8J+HqPCfh6ZDQS0yMy4xNjIuMjAwLjIyNy03MTA4IiwKICAgICJ0bHMiOiAidGxzIiwKICAgICJ0eXBlIjogImF1dG8iLAogICAgInNlY3VyaXR5IjogImF1dG8iLAogICAgInNraXAtY2VydC12ZXJpZnkiOiB0cnVlLAogICAgInNuaSI6ICIiCn0=
name: 🇬🇧GB-212.102.53.197-0233 | type: ss | id: 214 | remarks: 🇳🇱NL-149.34.244.68-0272 | protocol: ss | ping: 93 MS | avg_speed: 25.272 MB | max_speed: 37.813 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@149.34.244.68:443#%F0%9F%87%B3%F0%9F%87%B1NL-149.34.244.68-0272
